input,target
116.24,3614.2699999999995
93.88,2907.22
94.72,2864.15
89.27,2681.6549999999997
108.65,3130.835
76.98,2428.6800000000003
117.45,3566.815
92.39,2853.155
103.19,3217.425
97.51,2915.4150000000004
114.62,3617.61
79.4,2453.01
96.78,3121.49
96.16,2969.77
111.34,3447.73
89.0,2707.16
98.28,3165.18
91.22,2591.86
100.42,3029.5299999999997
105.83,3217.305
88.99,2581.1549999999997
111.45,3339.755
109.02,3127.8999999999996
105.02,3242.1499999999996
109.01,3204.2850000000003
93.16,2898.37
98.77,3006.305
90.64,2701.25
97.32,2832.8799999999997
105.3,3163.37
93.08,2890.0
96.03,2936.375
93.13,2927.0849999999996
91.55,2733.445
93.29,3025.945
99.87,3042.235
88.83,2644.795
102.34,3272.39
116.6,3712.0599999999995
107.42,3287.29
98.08,2963.01
91.12,2890.1700000000005
92.53,2752.755
116.92,3679.58
100.51,2946.8350000000005
93.63,2867.3749999999995
101.91,3129.435
121.0,3831.31
101.2,2923.68
106.17,3281.625
103.0,3149.43
96.48,2962.9300000000003
88.57,2632.975
96.51,2833.3650000000002
97.91,2959.945
105.87,3224.8650000000002
108.39,3473.415
109.31,3365.095
102.86,3156.8
108.85,3409.7549999999997
92.46,2678.8399999999997
112.53,3524.425
105.13,3318.0049999999997
97.02,3069.8199999999997
104.89,3185.845
99.24,2923.2999999999997
111.32,3316.77
115.2,3558.35
121.86,3790.41
86.04,2771.8700000000003
85.56,2781.72
94.96,3003.3999999999996
101.6,3122.1899999999996
108.76,3363.67
103.16,3142.85
79.78,2558.7799999999997
96.94,3036.1
108.28,3344.13
102.3,3014.59
107.62,3407.0800000000004
97.78,2849.6
97.99,3131.8749999999995
101.87,3225.4950000000003
104.1,3036.3399999999997
101.98,3125.5400000000004
101.19,2982.155
93.29,2850.885
103.78,3240.81
101.22,3093.55
111.29,3277.9550000000004
111.99,3461.7749999999996
101.85,3152.3749999999995
96.25,2952.905
93.61,2770.595
104.23,3164.0350000000003
100.77,3120.3349999999996
96.56,2949.58
100.44,3294.6800000000003
93.8,2906.51
106.98,3262.2100000000005
95.53,2981.925
112.25,3333.085
104.03,3234.995
105.94,3412.85
89.05,2647.645
101.69,3151.425
107.41,3372.715
90.46,2609.7
97.34,3152.7599999999998
100.33,2975.565
86.27,2617.7249999999995
103.15,3204.1450000000004
108.46,3304.7699999999995
91.4,2887.9900000000002
103.51,3192.1450000000004
86.88,2726.8199999999997
99.61,3065.605
83.84,2724.3199999999997
111.21,3210.3549999999996
104.09,3231.1549999999997
99.75,3032.315
92.25,2737.725
112.74,3377.41
119.67,3612.735
81.42,2561.15
112.36,3357.37
116.28,3550.22
103.38,3200.6099999999997
88.01,2588.7250000000004
108.63,3444.4449999999997
98.19,3256.955
93.96,2818.3799999999997
87.7,2786.79
105.51,3207.0850000000005
107.93,3365.2050000000004
93.76,2861.51
105.21,3449.7749999999996
88.56,2688.65
108.02,3393.9999999999995
100.47,3145.075
98.13,2904.5649999999996
98.98,2822.86
108.69,3392.955
107.5,3383.2
105.29,3177.675
101.38,3048.7499999999995
100.78,3191.47
106.18,3343.7700000000004
102.32,3236.35
106.83,3304.455
96.9,2896.6200000000003
75.65,2205.525
110.39,3187.585
121.87,3731.2650000000003
104.41,3396.425
99.0,3087.29
98.64,3020.55
98.81,2881.6349999999998
100.17,3008.395
88.78,2728.2799999999997
94.83,2890.0950000000003
90.03,2856.745
102.49,3130.0849999999996
97.03,3048.945
104.95,3209.555
98.25,2997.645
109.86,3496.64
102.14,3060.07
121.91,3709.945
81.04,2362.4500000000003
93.53,2882.335
109.01,3451.755
125.28,3909.18
97.51,3067.4550000000004
100.44,3188.7200000000003
97.74,3063.5899999999997
113.31,3551.785
97.13,3022.8349999999996
106.8,3179.86
96.8,3025.01
87.27,2776.325
103.14,3076.58
105.03,3247.015
112.93,3572.6450000000004
98.9,2999.1000000000004
93.83,2749.705
105.63,3247.865
102.41,3302.875
102.81,3064.415
99.27,3037.1949999999997
111.6,3348.7
103.69,3146.645
119.05,3674.505
111.11,3556.535
106.59,3199.335
83.73,2502.8950000000004
106.02,3166.3599999999997
104.2,3088.72
108.11,3163.885
110.44,3303.29
95.99,2937.115
108.24,3325.41
94.38,3015.8299999999995
119.55,3584.1150000000002
86.68,2585.7500000000005
82.39,2457.215
83.49,2586.015
91.09,2782.395
88.81,2806.4249999999997
119.56,3587.67
96.74,3061.8999999999996
86.57,2754.6349999999998
111.14,3383.52
94.13,2828.7149999999997
87.63,2710.8349999999996
108.76,3258.03
106.23,3459.235
95.65,2951.4150000000004
114.08,3578.68
101.29,2982.635
116.17,3388.105
105.03,3292.145
115.59,3597.085
101.09,3027.185
87.8,2641.2200000000003
124.49,3748.955
94.54,2926.2500000000005
98.01,3101.695
93.0,2702.01
97.97,3055.955
102.43,3056.695
102.02,3078.5199999999995
106.61,3255.565
117.92,3480.41
98.8,3317.79
87.67,2936.435
88.18,2784.7200000000003
93.34,2932.47
83.26,2455.07
108.25,3559.355
95.02,2919.9399999999996
96.89,2962.805
99.98,3189.7900000000004
86.03,2669.995
91.39,2729.735
106.75,3253.985
106.19,3221.185
95.57,2941.3549999999996
118.11,3677.805
86.94,2724.9500000000003
96.55,3094.895
97.69,2999.135
72.07,2313.9449999999997
119.38,3831.7599999999998
103.66,3059.03
89.55,2822.5350000000003
120.51,3588.3250000000003
105.86,3098.02
104.3,3359.62
93.93,2998.4150000000004
101.06,3154.67
84.74,2556.8799999999997
107.95,3462.835
96.26,2819.2100000000005
101.34,3117.6099999999997
112.02,3485.1299999999997
102.85,3285.6349999999998
102.62,2997.2700000000004
102.76,2847.7700000000004
92.67,2857.975
108.36,3356.72
115.43,3557.985
107.59,3213.775
108.85,3335.5049999999997
91.23,2648.505
91.32,2847.3199999999997
85.59,2719.755
112.32,3372.56
97.46,2792.14
114.0,3484.02
92.18,2811.6400000000003
95.62,2928.3500000000004
100.95,3229.335
109.21,3364.765
100.61,3297.015
102.11,3172.425
100.17,2966.465
101.77,3237.345
88.84,2720.5899999999997
100.81,3045.825
98.13,3040.9049999999997
99.43,3064.0950000000003
104.92,3064.2
93.19,2777.3450000000003
99.15,3159.275
97.03,2997.005
104.17,3261.085
107.85,3411.4449999999997
90.45,2957.9849999999997
105.86,3184.82
120.66,3629.79
85.29,2528.8950000000004
91.7,2756.7999999999997
91.19,2710.035
97.21,2983.4049999999997
116.23,3554.195
100.13,3132.0849999999996
93.05,2738.955
106.22,3194.33
94.0,2922.95
111.23,3482.3750000000005
103.05,2931.3650000000002
113.89,3433.435
93.39,2843.035
130.31,3790.335
108.25,3366.495
106.55,3390.185
99.49,2860.1349999999998
92.74,2692.08
91.32,2900.4799999999996
98.64,3142.05
92.03,2699.6349999999998
102.83,3057.555
91.74,2884.0099999999998
106.21,3235.1049999999996
109.56,3309.45
92.94,3014.08
111.93,3463.6450000000004
97.62,2815.4700000000003
111.55,3447.605
104.38,3063.0599999999995
111.22,3486.42
90.03,2864.115
98.93,3081.2250000000004
114.51,3605.3350000000005
93.82,3077.9399999999996
79.63,2521.3849999999998
80.57,2440.185
74.94,2196.34
78.86,2447.68
95.88,2840.8399999999997
112.79,3316.2250000000004
95.58,2889.01
103.24,2990.99
98.9,2906.4
100.09,3122.865
98.32,2971.2299999999996
98.26,2986.2700000000004
104.61,3208.015
88.24,2515.8999999999996
110.1,3396.6699999999996
109.2,3350.22
98.05,3006.005
108.05,3349.8050000000003
92.99,2639.705
94.63,3097.3949999999995
101.56,3087.24
98.1,2868.6299999999997
95.51,2944.2050000000004
93.28,2737.92
94.43,2906.755
109.39,3410.455
80.57,2345.495
103.52,3261.8999999999996
97.64,3011.13
107.28,3326.95
105.15,3267.485
72.17,2272.4249999999997
105.85,3360.4649999999997
103.24,3254.87
100.22,3125.4
95.31,2850.525
