input,target
-38.16,1721.3683999999998
-17.21,325.61115000000007
-8.27,54.33435
37.75,2502.12875
11.13,-82.54964999999999
-26.71,1045.66115
9.72,-470.2024
-30.95,1079.2087499999998
21.65,722.73875
-9.42,231.20460000000003
-1.87,-0.24964999999999993
26.52,876.9556000000001
-25.74,581.2613999999999
-27.94,1040.0254
-11.67,109.65834999999997
20.77,638.31435
-30.39,1068.58315
-56.64,4619.014400000001
-9.02,-65.00939999999999
11.03,233.16634999999997
24.01,1564.2651500000002
-9.26,-286.4886
-8.23,-413.85564999999997
23.08,1145.9496
-37.39,1685.3231500000002
-7.77,-38.50565
3.81,-147.75084999999999
8.98,115.38060000000003
-10.2,490.39
0.69,206.72915
-49.77,3608.63435
-13.16,-178.82160000000005
9.07,-104.43765000000002
-19.65,-257.3112500000001
1.18,-191.5914
8.94,418.17539999999997
-6.85,156.09875
3.41,-14.772849999999998
-19.25,426.13875
-4.13,-172.47965
12.2,354.74999999999994
3.14,227.6694
-11.73,-272.82565
4.48,135.1356
14.29,633.30115
-41.0,2152.22
23.18,1132.8186
-6.73,728.85435
8.51,138.85514999999998
23.94,1114.6254000000001
-27.43,766.80235
-14.19,256.10915
-5.77,128.50435
-15.68,316.58359999999993
34.7,1777.765
-17.14,381.84940000000006
-11.11,479.48315
4.09,164.83715
-24.04,952.1224
-7.91,-15.812850000000005
6.35,290.23875
-6.66,94.0634
-1.87,-243.63965
-10.59,180.01715000000002
-30.29,932.42115
6.43,-53.407650000000004
35.1,2124.495
0.37,77.92035
4.51,-236.48485
13.85,642.25875
-25.39,945.9431500000001
34.05,1785.2487499999997
4.05,-332.47125
32.64,1774.9844
-14.66,116.59339999999999
36.36,2248.7044
15.5,371.345
11.06,-245.4846
4.68,-32.816400000000016
-4.97,-70.65365
24.01,1180.2051500000002
2.81,-143.44085
-39.34,2486.4134000000004
-22.34,126.4933999999999
-3.72,325.36760000000004
6.2,42.88000000000001
-1.13,210.47035
24.38,1070.9966
-39.02,2316.1006
2.87,-64.82965
-36.36,1473.0744
15.19,800.96915
-1.89,-34.29685
8.39,216.51315
-17.28,645.2676
25.59,891.61715
20.83,936.0983499999999
11.67,133.66835
-2.59,-38.81285
11.6,296.31
-14.14,-166.0606
17.11,356.63315
32.99,2185.71515
21.41,1049.2971499999999
-14.59,209.80715
7.23,187.18435000000002
-25.86,762.4594
11.45,611.22875
9.01,131.24515
-37.4,1914.0
-23.24,946.5963999999999
-5.66,-182.07659999999998
-6.02,405.93059999999997
-24.19,338.87915
7.78,549.7726
5.03,-21.52364999999999
-3.89,-62.25685
-15.12,-226.8584
20.97,683.2163499999999
33.11,1600.6731499999996
-9.67,-73.50164999999998
-12.24,111.83640000000001
9.82,448.92859999999996
-7.16,83.2584
-2.79,71.46115
14.79,151.37114999999994
-38.19,1720.2891499999998
26.37,1665.1503500000001
1.45,-170.22125
-8.23,463.15435
-1.78,-66.5874
-0.75,-2.46125
-34.62,1841.3765999999996
29.9,1854.3349999999998
0.83,-20.27165
8.86,79.27939999999998
19.03,653.9263500000001
-20.42,578.2246000000001
9.47,419.90635000000003
-5.35,10.218749999999991
16.94,696.2754000000001
-42.54,2848.5573999999997
-1.98,89.3406
-12.06,218.6854
8.65,-210.27125
9.4,-463.03999999999996
-14.15,306.44875
-14.24,188.8964
-2.21,-134.73884999999999
-17.93,427.56235
16.84,520.7384
-7.38,316.6766
-58.14,4715.0094
-7.5,-150.105
-20.77,760.6243499999999
-32.63,1331.70035
-24.75,890.59875
2.19,-96.92085
26.57,1070.19235
6.26,121.51139999999998
-12.13,146.07035000000005
9.12,305.0016
-9.18,0.5785999999999802
-13.89,-258.9768499999999
-23.09,542.44715
-35.04,1813.3924000000002
-7.8,-32.78000000000001
3.16,-25.0816
-1.93,240.63235
-8.32,-127.23639999999999
-18.91,28.767150000000015
12.16,261.6784
-26.34,749.4434000000001
15.52,221.62559999999996
-20.04,429.3023999999999
-15.05,365.80875000000003
-29.34,1099.2234
-10.03,163.45635
19.51,1152.1251500000003
10.31,141.73915000000002
19.57,772.2723500000001
10.44,105.05039999999998
-22.07,376.5823499999999
-6.62,-122.52339999999998
-15.6,144.95
26.61,1325.9731499999998
-23.94,1292.3454000000002
17.87,417.15035
17.86,491.3994
36.59,2231.29715
-8.19,147.32915
14.25,464.10875
45.63,3741.760350000001
-12.35,-457.09125000000006
-30.7,618.4550000000002
-37.6,1753.2700000000002
14.25,672.5487499999999
-37.66,1492.2133999999994
-7.45,-716.08125
8.75,315.50874999999996
3.7,106.495
8.51,-107.60485000000003
4.45,-186.75125
25.58,906.3345999999997
-19.05,449.15875
-13.54,31.407399999999967
-15.45,382.14874999999995
16.6,-191.41999999999985
18.01,390.39515000000006
9.02,-99.83940000000001
23.67,931.16835
-23.56,545.9603999999999
33.34,2084.5034
30.46,1125.8774
14.71,432.56115000000005
35.64,2277.5544
-33.13,1896.2103500000003
-10.49,-22.56484999999998
-14.71,311.07115000000005
14.43,-43.83765
-21.0,-71.99000000000001
15.15,654.94875
27.41,1304.7371499999997
13.9,675.7950000000001
5.68,-257.0364
-19.76,588.2264
-16.94,788.5354
24.99,1205.11515
15.59,536.05715
-0.78,-1.0173999999999999
-8.36,-341.22560000000004
-40.52,2539.3156000000004
-21.42,397.28460000000007
38.23,2567.914349999999
-25.61,427.5831499999998
3.79,-247.67885
20.15,1099.77875
-25.1,696.0350000000001
3.69,408.72915
18.76,631.2864000000002
0.25,-457.75125
57.37,5533.90035
-33.37,1306.9603499999998
21.17,985.52835
-3.46,2.767400000000001
15.44,73.17040000000003
8.83,216.41835
-14.66,777.1433999999999
4.58,185.4846
-37.16,1816.3783999999996
12.06,566.3954
5.96,145.69240000000002
12.77,380.99434999999994
21.16,537.2484
7.35,188.26875
2.96,292.24240000000003
-17.62,143.1466
-14.24,568.7264
23.73,976.98435
28.73,1203.9243499999998
-4.76,253.4564
0.92,-63.4504
-18.09,564.16715
23.46,906.1074000000001
13.31,338.28915
38.82,2637.2086
-17.57,422.57235000000003
-7.56,-461.2896
4.63,-217.05965
12.93,568.17235
-4.31,-32.18085000000001
-17.46,213.85740000000004
17.63,242.18034999999998
14.42,136.70459999999997
-18.33,-119.61165000000005
27.11,1254.32315
23.4,824.8299999999999
2.69,-212.31085000000002
1.59,-1.9028500000000008
11.08,348.1596
-17.23,857.61435
0.6,-372.53000000000003
-43.05,2790.9787499999998
17.53,819.1763500000001
-31.23,1066.20435
30.07,1603.57235
-6.6,-90.97
-4.23,46.76435000000001
-12.55,532.95875
-5.76,164.7264
28.37,1519.8403500000002
-49.76,3284.0663999999992
25.54,774.4373999999998
6.76,61.36639999999999
-24.14,1019.8494000000001
-21.51,173.4151500000002
33.53,1641.5663499999998
-18.91,446.03715
-23.07,403.22235
22.75,727.08875
6.77,7.854349999999982
-18.76,65.5664000000001
4.33,-186.26165
-20.52,675.0856
22.02,544.6106
21.23,415.59434999999996
10.64,82.46440000000001
7.23,309.39435000000003
35.22,2041.3725999999997
-0.01,-115.21485000000001
-23.64,696.7044000000001
8.99,-255.76485
41.72,3006.6975999999995
